Name,Latin name,Other names,Relative growing difficulty,Growing difficulty : Soil,Growing difficulty : Pests,Care difficulty,Height,Planting distance,Sowing depth,Coldest USDA hardiness zone,Category,Scientific family,Plant group,Can be harvested from year,Plant diseases,Pests,Soil PH,Preferred soil type,Sunshine needed,Soil drainage,Zone 2 - Time to plant,Zone 2 - Time to harvest,Zone 3 - Time to plant,Zone 3 - Time to harvest,Zone 4 - Time to plant,Zone 4 - Time to harvest,Zone 5 - Time to plant,Zone 5 - Time to harvest,Zone 6 - Time to plant,Zone 6 - Time to harvest,Zone 7 - Time to plant,Zone 7 - Time to harvest,Zone 8 - Time to plant,Zone 8 - Time to harvest,Zone 9 - Time to plant,Zone 9 - Time to harvest,Zone 10 - Time to plant,Zone 10 - Time to harvest,Zone 11 - Time to plant,Zone 11 - Time to harvest,Image URL
Lemon Cucumber,Cucumis sativus,,4,5,1,5,60,12,0.5,2,Fruits,Cucurbitaceae,Cucumber,0,"Anthracnose,Bacterial wilt,Cucumber mosaic virus,Downy mildew,Leaf spots,Powdery mildew,Scab,","Aphids,Spotted cucumber beetles,Squash vine borers,Striped cucumber beetles,","Neutral,","Loam,","Full sun,","Well-drained,","April,June,May,","August,July,","April,June,May,","August,July,June,","April,June,May,","August,July,June,","May,","August,July,","May,","August,July,","April,August,July,June,May,","August,July,October,September,","April,August,July,June,May,","August,July,October,September,","April,August,May,September,","July,June,May,November,October,","April,August,May,September,","July,June,May,November,October,",,,https://cdn.sympathink.com/wp-content/uploads/lemon-cucumber-cucumis-sativus-60x45.jpg
Lima Bean,Phaseolus lunatus,"Butter bean, sieva bean, Madagascar bean",4,4,2,4,12,6,1.75,3,Podded,Fabaceae,Bean,0,"Anthracnose,Blight,Mosaic virus,","Aphids,Bean beetles,Flea beetles,Leafhoppers,Mites,","Slightly acidic,","Loam,","Full sun,","Well-drained,",,,"July,June,May,","August,October,September,","July,June,May,","August,October,September,","June,May,","August,September,","April,June,May,","August,September,","April,June,May,","August,July,September,","April,June,May,","August,July,September,","April,March,October,September,","August,December,January,July,June,","April,March,October,September,","August,December,January,July,June,",,,https://cdn.sympathink.com/wp-content/uploads/lima-butter-bean-phaseolus-lunatus-60x40.jpg
Lovage,Levisticum officinale,,2,5,2,1,54,8,0.5,4,Herbs,Apiaceae,No group,0,"No serious disease problems,","Leafminers,","Slightly acidic,","Sandy loam,","Full sun,","Well-drained,",,,,,"May,","August,July,","April,","August,July,June,","April,","August,July,June,","April,","August,July,June,","March,","July,June,May,",,,,,,,https://cdn.sympathink.com/wp-content/uploads/lovage-levisticum-officinale-60x45.jpg
Lucullus Asparagus,Asparagus officinalis,,4,2,5,3,38,21,8,3,Bulb & stem,Asparagaceae,Asparagus,3,"Crown rot,Fusarium wilt,Rust,","Asparagus beetles,","Neutral,","Loam,","Full sun,Part shade,","Loose soil,",,,"April,March,May,","June,","April,March,May,","June,","April,February,March,May,","May,","April,February,March,May,","May,","April,February,March,","April,May,","April,February,January,March,","April,May,","April,February,January,March,","April,May,",,,,,https://cdn.sympathink.com/wp-content/uploads/lovage-levisticum-officinale-60x45.jpg
Maca,Lepidium meyenii,"Maca-Maca, Maino, Ayak chichira, Ayak willku",1,3,1,2,15,6,0.25,2,Root and tuberous,Brassicaceae,No group,0,"No serious disease problems,","Birds,Rodents,","Neutral,","Loam,","Full sun,","Well-drained,","April,March,","October,September,","April,March,","October,September,","April,March,","October,September,","April,March,","October,September,","April,March,","October,September,",,,,,,,,,,,https://cdn.sympathink.com/wp-content/uploads/maca-lepidium-meyenii-60x40.jpg
Mary Washington Asparagus,Asparagus officinalis,,4,1,5,3,84,21,8,3,Bulb & stem,Asparagaceae,Asparagus,3,"Crown rot,Fusarium wilt,Rust,","Asparagus beetles,","Neutral,","Loam,","Full sun,Part shade,","Loose soil,",,,"April,March,May,","June,","April,March,May,","June,","April,February,March,May,","May,","April,February,March,May,","May,","April,February,March,","April,May,","April,February,January,March,","April,May,","April,February,January,March,","April,May,",,,,,https://cdn.sympathink.com/wp-content/uploads/mary-washington-asparagus-officinalis-60x40.jpg
Mascara Lettuce,Lactuca sativa,,5,5,5,5,10,8,0.5,3,Leaf,Amaranthaceae,Lettuce,0,"Damping off,Downy mildew,Fusarium,Mosaic virus,","Aphids,Cabbage loopers,Cutworms,Leafhoppers,Leafminers,Slugs,Wireworms,","Neutral,Slightly acidic,Slightly alkaline,","Loam,","Full sun,Part shade,","High moisture,Well-drained,",,,"April,August,July,June,May,","August,July,June,May,October,September,","April,August,July,June,May,","August,July,June,May,October,September,","April,August,July,June,March,May,September,","April,August,July,June,May,November,October,September,","April,August,July,June,March,May,September,","April,August,July,June,May,November,October,September,","April,August,July,June,May,November,October,September,","April,August,July,June,March,May,September,","April,August,July,June,May,November,October,September,","April,August,July,June,March,May,September,","April,August,December,February,January,July,June,March,May,October,September,","April,August,December,February,July,June,March,May,November,October,September,","April,August,December,February,January,July,June,March,May,October,September,","April,August,December,February,July,June,March,May,November,October,September,",,,https://cdn.sympathink.com/wp-content/uploads/mascara-lettuce-lactuca-sativa-60x40.jpg
Mung Bean,Vigna radiata,"Green gram, maash, moong",1,2,2,1,16,2,1,3,Podded,Fabaceae,Bean,0,"No serious disease problems,","Aphids,Bean fly,Bean pod-borers,Cotton bollworm (helicoverpa armigera),Loopers,Mirids,Pod-sucking bugs,Thrips,","Neutral,Slightly acidic,","Sandy loam,","Full sun,","Well-drained,",,,"July,June,May,","August,October,September,","July,June,May,","August,October,September,","June,May,","August,September,","April,June,May,","August,September,","April,June,May,","August,July,September,","April,June,May,","August,July,September,","April,March,October,September,","August,December,January,July,June,","April,March,October,September,","August,December,January,July,June,",,,https://cdn.sympathink.com/wp-content/uploads/mung-bean-vigna-radiata-60x45.jpg
Napa Cabbage,Brassica rapa subsp. pekinensis,"Napa, Chinese cabbage",5,5,5,5,12,12,0.5,3,Leaf,Brassicaceae,Cabbage,0,"Black leg,Black rot,Cabbage yellows,Clubroot,Purple blotch,","Cabbage aphids,Cabbage root maggots,Cabbage worms,Cutworms,Flea beetles,Nematodes,Slugs,","Neutral,Slightly acidic,","Loam,","Full sun,","Well-drained,",,,"April,August,July,June,March,May,September,","August,July,June,May,October,September,","April,August,July,June,March,May,September,","August,July,June,May,October,September,","April,August,July,June,March,May,September,","August,July,June,May,November,October,September,","April,August,July,June,March,May,September,","August,July,June,May,November,October,September,","April,February,March,","July,June,May,","April,February,March,","July,June,May,","December,February,January,March,","April,February,July,June,March,May,","December,February,January,March,","April,February,July,June,March,May,",,,https://cdn.sympathink.com/wp-content/uploads/napa-cabbage-brassica-rapa-pekinensis-60x45.jpg
National Pickling Cucumber,Cucumis sativus,,4,4,1,5,42,12,0.5,2,Fruits,Cucurbitaceae,Cucumber,0,"Anthracnose,Bacterial wilt,Cucumber mosaic virus,Downy mildew,Leaf spots,Powdery mildew,Scab,","Aphids,Spotted cucumber beetles,Squash vine borers,Striped cucumber beetles,","Neutral,","Loam,","Full sun,","Well-drained,","April,June,May,","August,July,","April,June,May,","August,July,June,","April,June,May,","August,July,June,","May,","August,July,","May,","August,July,","April,August,July,June,May,","August,July,October,September,","April,August,July,June,May,","August,July,October,September,","April,August,May,September,","July,June,May,November,October,","April,August,May,September,","July,June,May,November,October,",,,https://cdn.sympathink.com/wp-content/uploads/national-pickling-cucumber-cucumis-sativus-60x45.jpg
Navy or Cannellini Bean,Phaseolus vulgaris,"Haricot, pearl haricot bean, Boston bean, white pea bean, pea bean",2,4,2,2,24,6,1.5,3,Podded,Fabaceae,Bean,0,"Bacterial blights,Bean common mosaic virus,White mold,","Aphids,Leafhoppers,Mexican bean beetles,Seedcorn maggots,Two-spotted spider mites,","Slightly acidic,","Loam,","Full sun,","Well-drained,",,,"July,June,May,","August,October,September,","July,June,May,","August,October,September,","June,May,","August,September,","April,June,May,","August,September,","April,June,May,","August,July,September,","April,June,May,","August,July,September,","April,March,October,September,","August,December,January,July,June,","April,March,October,September,","August,December,January,July,June,",,,https://cdn.sympathink.com/wp-content/uploads/national-pickling-cucumber-cucumis-sativus-60x45.jpg
Okra,Abelmoschus esculentus,"Ladies' fingers, ochro, okro",1,2,2,1,84,15,0.75,5,Podded,Malvaceae,No group,0,"Fusarium wilt,","Aphids,Corn earworms,Stink bugs,","Neutral,Slightly acidic,Slightly alkaline,","Loam,","Full sun,","Well-drained,",,,,,,,"March,","June,May,","March,","June,May,","March,","June,May,","February,","April,May,","January,","April,March,","January,","April,March,","January,","April,March,",https://cdn.sympathink.com/wp-content/uploads/okra-abelmoschus-esculentus-60x45.jpg
Orange Bell Pepper,Capsicum annuum,,2,3,4,2,24,18,0.25,3,Fruits,Solanaceae,Pepper,0,"Blossom-end rot,Cucumber mosaic virus,","Aphids,Borers,Tarnished plant bugs,","Neutral,","Loam,","Full sun,","Well-drained,",,,"April,June,March,May,","August,July,","April,June,March,May,","August,July,","April,February,March,May,","August,July,","April,February,March,May,","August,July,September,","April,February,March,May,","August,July,June,","April,February,March,May,","August,July,June,","April,December,March,","July,June,","April,December,March,","July,June,",,,https://cdn.sympathink.com/wp-content/uploads/orange-bell-pepper-capsicum-annuum-60x45.jpg
Oregano,Origanum vulgare,Wild marjoram,1,2,1,1,18,8,0.5,3,Herbs,Lamiaceae,No group,0,"Root rots,Stem rot,","Aphids,Spider mites,","Neutral,Slightly acidic,Slightly alkaline,","Loam,","Full sun,","Well-drained,",,,"April,June,March,May,","August,July,June,","April,June,March,May,","August,July,June,","April,March,May,","August,July,June,","April,March,May,","August,July,June,","April,February,March,May,","August,July,June,","April,February,March,May,","August,July,June,","April,December,February,January,March,","August,July,June,","April,December,February,January,March,","August,July,June,",,,https://cdn.sympathink.com/wp-content/uploads/oregano-origanum-vulgare-60x45.jpg
Paris Market Carrot,Daucus carota subsp. sativus,,3,5,2,3,12,3,0.5,3,Root and tuberous,Apiaceae,Carrot,0,"Aster yellow disease,","Carrot rust flies,Carrot weevils,Flea beetles,Leafhoppers,Slugs,Wireworms,","Neutral,Slightly acidic,","Sandy,","Full sun,","Well-drained,",,,"August,July,June,May,","August,July,October,September,","August,July,June,May,","August,July,October,September,","April,August,July,June,May,September,","August,July,June,November,October,September,","April,August,July,June,May,September,","August,July,June,November,October,September,","April,","July,June,","April,","July,June,","April,August,February,July,June,March,May,October,September,","April,August,December,July,June,May,November,October,September,","April,August,February,July,June,March,May,October,September,","April,August,December,July,June,May,November,October,September,",,,https://cdn.sympathink.com/wp-content/uploads/paris-market-carrot-daucus-carota-60x40.jpg
Parsley,Petroselinum crispum,Garden parsley,1,3,1,2,15,8,0.5,3,Herbs,Apiaceae,No group,0,"Leaf spots,Stem rot,","Black swallowtail larvae,Carrot rust flies,Celery fly larvae,","Neutral,Slightly acidic,","Loam,","Full sun,Part shade,","Well-drained,",,,"April,June,March,May,","August,July,June,","April,June,March,May,","August,July,June,","April,March,May,","August,July,June,","April,March,May,","August,July,June,","April,February,March,May,","August,July,June,May,","April,February,March,May,","August,July,June,May,","April,December,February,January,March,","April,June,March,May,","April,December,February,January,March,","April,June,March,May,",,,https://cdn.sympathink.com/wp-content/uploads/parsley-petroselinum-crispum-60x45.jpg
Parsnip,Pastinaca sativa,,5,4,5,4,30,3,0.5,3,Root and tuberous,Apiaceae,No group,0,"No serious disease problems,","Carrot weevils,Leafhoppers,","Neutral,Slightly acidic,","Sandy,","Full sun,","Well-drained,",,,"August,July,June,May,","August,November,October,September,","August,July,June,May,","August,November,October,September,","April,August,July,June,May,September,","August,December,July,November,October,September,","April,August,July,June,May,September,","August,December,July,November,October,September,","April,June,May,","August,July,October,September,","April,June,May,","August,July,October,September,","April,August,February,July,June,March,May,October,September,","August,December,January,July,June,May,November,October,September,","April,August,February,July,June,March,May,October,September,","August,December,January,July,June,May,November,October,September,",,,https://cdn.sympathink.com/wp-content/uploads/parsnip-pastinaca-sativa-60x40.jpg
Pea,Pisum sativum,,2,2,2,2,54,2.5,1.5,3,Podded,Fabaceae,Pea,0,"Powdery mildew,Seed decay,Seedling root rots,Wilts,","Aphids,Seedcorn maggots,","Neutral,Slightly acidic,","Loam,","Full sun,Part shade,","Well-drained,",,,"April,June,May,","August,July,June,","April,June,May,","August,July,June,","April,May,","August,July,June,","April,May,","August,July,June,","April,June,March,May,","August,July,June,September,","April,June,March,May,","August,July,June,September,","February,January,March,","April,March,May,","February,January,March,","April,March,May,",,,https://cdn.sympathink.com/wp-content/uploads/pea-pisum-sativum-60x40.jpg
Peanut,Arachis hypogaea,"Groundnut, goober",3,5,3,2,18,6,2,5,Podded,Fabaceae,No group,0,"No serious disease problems,","No serious pest problems,","Acidic,Slightly acidic,","Sandy loam,","Full sun,","Well-drained,",,,,,,,"May,","August,September,","May,","August,September,","May,","August,September,","April,","August,July,September,","April,","August,July,September,","April,","August,July,September,",,,https://cdn.sympathink.com/wp-content/uploads/peanut-arachis-hypogaea-60x45.jpg
Pearl Onion,Allium cepa,,3,3,4,3,24,2,0.25,3,Bulb & stem,Amaryllidaceae,Onion,0,"Purple blotch,","Onion maggots,","Neutral,","Loam,","Full sun,","Well-drained,",,,"April,March,May,","August,September,","April,March,May,","August,September,","April,February,March,May,","August,September,","April,February,March,May,","August,September,","April,February,March,May,","August,July,September,","April,February,March,May,","August,July,September,","December,February,January,March,November,","April,August,July,June,March,May,","December,February,January,March,November,","April,August,July,June,March,May,",,,https://cdn.sympathink.com/wp-content/uploads/pearl-onion-allium-cepa-60x40.jpg
Peppermint,Mentha × piperita (or Mentha balsamea Wild.),,1,1,2,2,18,18,0.5,3,Herbs,Lamiaceae,Mint,0,"Anthracnose,Leaf spots,Powdery mildew,Rust,Stem canker,","Mice,","Neutral,Slightly acidic,","Loam,","Full sun,","Well-drained,",,,"April,June,March,May,","August,July,June,","April,June,March,May,","August,July,June,","April,February,March,May,","August,July,June,May,","April,February,March,May,","August,July,June,May,","April,February,March,May,","August,July,June,May,","April,February,March,May,","August,July,June,May,","April,December,February,March,","April,July,June,March,May,","April,December,February,March,","April,July,June,March,May,",,,https://cdn.sympathink.com/wp-content/uploads/peppermint-mentha-balsamea-60x45.jpg
Philadelphia White Box Radish,Raphanus sativus,,3,3,4,3,12,2,0.5,2,Root and tuberous,Brassicaceae,Radish,0,"Clubroot,","Cabbage root maggots,","Acidic,Slightly acidic,","Clay,Loam,Sandy,","Full sun,Part shade,","Loose,Well-drained,","April,May,","June,May,","April,August,July,June,May,","August,July,June,May,September,","April,August,July,June,May,","August,July,June,May,September,","April,August,July,June,March,May,September,","April,August,July,June,May,October,September,","April,August,July,June,March,May,September,","April,August,July,June,May,October,September,","April,August,July,June,May,October,September,","August,July,June,May,November,October,September,","April,August,July,June,May,October,September,","August,July,June,May,November,October,September,","February,March,November,October,","April,December,March,November,","February,March,November,October,","April,December,March,November,",,,https://cdn.sympathink.com/wp-content/uploads/peppermint-mentha-balsamea-60x45.jpg
Pimiento Pepper,Capsicum annuum,"Pimento, Cherry pepper",2,3,4,1,21,18,0.25,3,Fruits,Solanaceae,Pepper,0,"Blossom-end rot,Cucumber mosaic virus,","Aphids,Borers,Tarnished plant bugs,","Neutral,","Loam,","Full sun,","Well-drained,",,,"April,June,March,May,","August,July,","April,June,March,May,","August,July,","April,February,March,May,","August,July,","April,February,March,May,","August,July,September,","April,February,March,May,","August,July,June,","April,February,March,May,","August,July,June,","April,December,March,","July,June,","April,December,March,","July,June,",,,https://cdn.sympathink.com/wp-content/uploads/pimiento-pimento-pepper-capsicum-annuum-60x45.jpg
Pink Plume Celery,Apium graveolens,,5,5,5,3,8,8,0.5,3,Leaf,Apiaceae,Celery,0,"Blackheart,Celery mosaic virus,Leaf blights,","Aphids,Cabbage loopers,Cutworms,Tarnished plant bugs,Whiteflies,","Neutral,Slightly acidic,","Loam,","Full sun,Part shade,","Damp soil,Water frequently,",,,"April,February,March,May,","August,July,June,May,September,","April,February,March,May,","August,July,June,May,September,","April,February,March,May,","August,July,June,May,September,","April,February,March,May,","August,July,June,May,September,","April,February,January,March,","April,July,June,May,","April,February,January,March,","April,July,June,May,","December,February,January,March,","April,June,March,May,","December,February,January,March,","April,June,March,May,",,,https://cdn.sympathink.com/wp-content/uploads/pimiento-pimento-pepper-capsicum-annuum-60x45.jpg
Pinto Bean,Vigna radiata,,2,4,2,2,36,3.5,1.5,3,Podded,Fabaceae,Bean,0,"Bacterial blights,Bean common mosaic virus,White mold,","Aphids,Leafhoppers,Mexican bean beetles,Seedcorn maggots,Two-spotted spider mites,","Slightly acidic,","Loam,","Full sun,","Well-drained,",,,"July,June,May,","August,October,September,","July,June,May,","August,October,September,","June,May,","August,September,","April,June,May,","August,September,","April,June,May,","August,July,September,","April,June,May,","August,July,September,","April,March,October,September,","August,December,January,July,June,","April,March,October,September,","August,December,January,July,June,",,,https://cdn.sympathink.com/wp-content/uploads/pinto-bean-vigna-radiata-60x80.jpg
Plum Purple Radish,Raphanus sativus,,3,3,4,3,12,2,0.5,2,Root and tuberous,Brassicaceae,Radish,0,"Clubroot,","Cabbage root maggots,","Acidic,Slightly acidic,","Clay,Loam,Sandy,","Full sun,Part shade,","Loose,Well-drained,","April,May,","June,May,","April,August,July,June,May,","August,July,June,May,September,","April,August,July,June,May,","August,July,June,May,September,","April,August,July,June,March,May,September,","April,May,October,September,","April,August,July,June,March,May,September,","April,May,October,September,","April,August,July,June,May,October,September,","August,July,June,May,November,October,September,","April,August,July,June,May,October,September,","August,July,June,May,November,October,September,","February,March,November,October,","April,December,March,November,","February,March,November,October,","April,December,March,November,",,,https://cdn.sympathink.com/wp-content/uploads/plum-purple-radish-raphanus-sativus-60x45.jpg
Potato,Solanum tuberosum (Phureja Group),,5,4,3,5,27,10,4,3,Root and tuberous,Solanaceae,Potato,0,"Early blight,Late blight,Scab,","Aphids,Colorado potato beetles,Flea beetles,Leafhoppers,","Acidic,","Loam,Sandy,","Full sun,","Loose,Well-drained,",,,"June,May,","August,July,October,September,","June,May,","August,July,October,September,","April,March,May,","August,July,June,May,October,September,","April,March,May,","August,July,June,May,October,September,","April,March,","August,July,June,May,September,","April,March,","August,July,June,May,September,","April,March,October,September,","August,December,July,June,May,November,October,September,","April,March,October,September,","August,December,July,June,May,November,October,September,",,,https://cdn.sympathink.com/wp-content/uploads/potato-solanum-tuberosum-60x40.jpg
Precoce D’Argenteuil Asparagus,Asparagus officinalis,,4,2,5,3,84,21,8,3,Bulb & stem,Asparagaceae,Asparagus,3,"Crown rot,Fusarium wilt,Rust,","Asparagus beetles,","Neutral,","Loam,","Full sun,Part shade,","Loose soil,",,,"April,March,May,","June,","April,March,May,","June,","April,February,March,May,","May,","April,February,March,May,","May,","April,February,March,","April,May,","April,February,January,March,","April,May,","April,February,January,March,","April,May,",,,,,https://cdn.sympathink.com/wp-content/uploads/potato-solanum-tuberosum-60x40.jpg
Pumpkin,Cucurbita pepo,,4,3,2,4,27,9,0.5,3,Fruits,Cucurbitaceae,Squash,0,"Bacterial wilt,Blossom-end rot,Downy mildew,Powdery mildew,Scab,Viruses,","Aphids,Spider mites,Squash bugs,Squash vine borer,Striped cucumber beetles,","Slightly acidic,","Clay,Loam,Sandy,","Full sun,","Well-drained,",,,"June,","September,","June,","September,","July,June,May,","August,October,September,","July,June,May,","August,October,September,","April,May,","August,July,","April,May,","August,July,","April,March,September,","December,July,June,","April,March,September,","December,July,June,",,,https://cdn.sympathink.com/wp-content/uploads/pumpkin-cucurbita-pepo-60x40.jpg
Pumpkin flower,Cucurbita pepo,,4,3,2,4,27,9,0.5,3,Flowers & flower buds,Cucurbitaceae,Squash,0,"Bacterial wilt,Downy mildew,Powdery mildew,Scab,Viruses,","Aphids,Spider mites,Squash bugs,Squash vine borers,Striped cucumber beetles,","Slightly acidic,","Clay,Loam,Sandy,","Full sun,","Well-drained,",,,"June,","September,","June,","September,","July,June,May,","August,October,September,","July,June,May,","August,October,September,","April,May,","August,July,","April,May,","August,July,","April,March,September,","December,July,June,","April,March,September,","December,July,June,",,,https://cdn.sympathink.com/wp-content/uploads/pumpkin-flower-cucurbita-pepo-60x45.jpg
Purple Carrot,Daucus carota subsp. sativus,,3,5,2,3,12,3,0.5,3,Root and tuberous,Apiaceae,Carrot,0,"Aster yellow disease,","Carrot rust flies,Carrot weevils,Flea beetles,Leafhoppers,Slugs,Wireworms,","Neutral,Slightly acidic,","Sandy,","Full sun,","Well-drained,",,,"August,July,June,May,","August,July,October,September,","August,July,June,May,","August,July,October,September,","April,August,July,June,May,September,","August,July,June,November,October,September,","April,August,July,June,May,September,","August,July,June,November,October,September,","April,","July,June,","April,","July,June,","April,August,February,July,June,March,May,October,September,","April,August,December,July,June,May,November,October,September,","April,August,February,July,June,March,May,October,September,","April,August,December,July,June,May,November,October,September,",,,https://cdn.sympathink.com/wp-content/uploads/purple-carrot-daucus-carota-60x40.jpg
Purple of Romagna Artichoke,Cynara cardunculus var. scolymus,,5,4,5,4,60,36,0.5,3,Flowers & flower buds,Asteraceae,Artichoke,0,"No serious disease problems,","Aphids,","Neutral,Slightly acidic,Slightly alkaline,","Loam,","Full sun,","Well-drained,",,,"April,February,January,June,March,May,","August,September,","April,February,January,June,March,May,","August,September,","April,March,May,","August,September,","April,March,May,","August,September,","April,February,March,May,","August,September,","April,February,March,May,","August,September,","December,February,January,March,","July,June,May,",,,,,https://cdn.sympathink.com/wp-content/uploads/purple-carrot-daucus-carota-60x40.jpg
Purple of Sicily Cauliflower,Brassica oleracea var. botrytis,,5,1,5,5,18,36,0.25,3,Flowers & flower buds,Brassicaceae,Cauliflower,0,"Black rot,Blackleg,Cabbage yellows,Clubroot,Purple blotch,","Cabbage aphids,Cabbage root maggots,Cabbage worms,Cutworms,Flea beetles,Slugs,Snails,","Neutral,Slightly acidic,","Loam,","Full sun,","Well-drained,",,,"April,August,July,June,March,May,September,","August,July,June,October,September,","April,August,July,June,March,May,September,","August,July,June,October,September,","April,August,July,June,March,May,October,September,","August,July,June,October,September,","April,August,July,June,March,May,October,September,","August,July,June,October,September,","April,August,February,July,June,March,May,October,September,","August,July,June,May,November,October,September,","April,August,February,July,June,March,May,October,September,","August,July,June,May,November,October,September,","April,August,December,February,January,July,June,March,May,November,October,September,","April,August,December,February,January,July,June,March,May,November,October,September,","April,August,December,February,January,July,June,March,May,November,October,September,","April,August,December,February,January,July,June,March,May,November,October,September,",,,https://cdn.sympathink.com/wp-content/uploads/purple-carrot-daucus-carota-60x40.jpg
Purple Peruvian Potato,Solanum andigenum,Purple Peruvian fingerling potato ,5,4,3,5,27,10,4,3,Root and tuberous,Solanaceae,Potato,0,"Early blight,Late blight,Scab,","Aphids,Colorado potato beetles,Flea beetles,Leafhoppers,","Acidic,","Sandy,","Full sun,","Loose,Well-drained,",,,"June,May,","August,July,October,September,","June,May,","August,July,October,September,","April,March,May,","August,July,June,May,October,September,","April,March,May,","August,July,June,May,October,September,","April,March,","August,July,June,May,September,","April,March,","August,July,June,May,September,","April,March,October,September,","August,December,July,June,May,November,October,September,","April,March,October,September,","August,December,July,June,May,November,October,September,",,,https://cdn.sympathink.com/wp-content/uploads/purple-peruvian-potato-solanum-andigenum-60x45.jpg
Purple Viking Potato,Solanum tuberosum (Phureja Group),,4,4,3,5,27,10,4,3,Root and tuberous,Solanaceae,Potato,0,"Early blight,Late blight,Scab,","Aphids,Colorado potato beetles,Flea beetles,Leafhoppers,","Acidic,","Sandy,","Full sun,","Loose,Well-drained,",,,"June,May,","August,July,October,September,","June,May,","August,July,October,September,","April,March,May,","August,July,June,May,October,September,","April,March,May,","August,July,June,May,October,September,","April,March,","August,July,June,May,September,","April,March,","August,July,June,May,September,","April,March,October,September,","August,December,July,June,May,November,October,September,","April,March,October,September,","August,December,July,June,May,November,October,September,",,,https://cdn.sympathink.com/wp-content/uploads/purple-viking-potato-solanum-tuberosum-60x48.jpg
Pusa Meghna Cauliflower,Brassica oleracea var. botrytis,,5,1,5,5,18,20,0.5,3,Flowers & flower buds,Brassicaceae,Cauliflower,0,"Black rot,Blackleg,Cabbage yellows,Clubroot,Purple blotch,","Cabbage aphids,Cabbage root maggots,Cabbage worms,Cutworms,Flea beetles,Slugs,Snails,","Neutral,Slightly acidic,Slightly alkaline,","Loam,","Full sun,","Well-drained,",,,"April,August,July,June,March,May,September,","August,July,June,October,September,","April,August,July,June,March,May,September,","August,July,June,October,September,","April,August,July,June,March,May,October,September,","August,July,June,October,September,","April,August,July,June,March,May,October,September,","August,July,June,October,September,","April,August,February,July,June,March,May,October,September,","August,July,June,May,November,October,September,","April,August,February,July,June,March,May,October,September,","August,July,June,May,November,October,September,","April,August,December,February,January,July,June,March,May,November,October,September,","April,August,December,February,January,July,June,March,May,November,October,September,","April,August,December,February,January,July,June,March,May,November,October,September,","April,August,December,February,January,July,June,March,May,November,October,September,",,,https://cdn.sympathink.com/wp-content/uploads/purple-viking-potato-solanum-tuberosum-60x48.jpg
Radicchio,Cichorium radicia var. latifolia,Italian chicory,3,2,1,5,9,10,0.5,3,Leaf,Asteraceae,No group,0,"No serious disease problems,","Ants,Aphids,Thrips,","Slightly alkaline,","Loam,","Full sun,Part shade,","Well-drained,",,,"April,June,May,","August,July,June,","April,June,May,","August,July,June,","April,August,July,June,May,September,","July,June,November,October,","April,August,July,June,May,September,","July,June,November,October,September,","April,August,July,June,March,May,October,September,","December,July,June,May,November,","April,March,October,September,","December,July,June,May,November,","December,February,January,March,October,September,","April,December,February,March,May,November,","December,February,January,March,October,September,","April,December,February,March,May,November,",,,https://cdn.sympathink.com/wp-content/uploads/radicchio-cichorium-radicia-latifolia-60x40.jpg
Radish,Raphanus sativus,,3,3,4,3,12,2,0.5,2,Root and tuberous,Brassicaceae,Radish,0,"Clubroot,","Cabbage root maggots,","Acidic,Slightly acidic,","Clay,Loam,Sandy,","Full sun,Part shade,","Loose,Well-drained,","April,May,","August,July,June,May,","April,August,July,June,May,","August,July,June,May,October,September,","April,August,July,June,May,","August,July,June,May,October,September,","April,August,July,June,March,May,September,","April,August,July,June,May,October,September,","April,August,July,June,March,May,September,","April,August,July,June,May,October,September,","April,August,July,June,May,October,September,","August,December,July,June,May,November,October,September,","April,August,July,June,May,October,September,","August,December,July,June,May,November,October,September,","February,March,November,October,","April,December,March,November,","February,March,November,October,","April,December,March,November,",,,https://cdn.sympathink.com/wp-content/uploads/radish-raphanus-sativus-60x40.jpg
Rainbow Swiss Chard,Beta vulgaris subsp. vulgaris,,1,4,1,2,24,9,0.75,3,Leaf,Amaranthaceae,Chard,0,"Downy mildew,Leaf spots,","Aphids,Leafminers,","Neutral,Slightly acidic,Slightly alkaline,","High in organic matter,Loam,","Full sun,Part shade,","Well-drained,",,,"August,July,June,May,","August,July,June,October,September,","August,July,June,May,","August,July,June,October,September,","April,August,July,June,May,","August,July,June,May,October,September,","April,August,July,June,May,","August,July,June,May,October,September,","April,August,July,June,May,September,","August,July,June,May,September,","April,August,July,June,May,September,","August,July,June,May,September,","April,August,February,July,June,March,May,October,September,","April,August,December,July,June,March,May,November,October,September,","April,August,February,July,June,March,May,October,September,","April,August,December,July,June,March,May,November,October,September,",,,https://cdn.sympathink.com/wp-content/uploads/rainbow-swiss-chard-beta-vulgaris-60x40.jpg
